Line,StopName,Lon,Lat
K,Champlost Av & Hammond Av,-75.115773,40.041067
K,Crescentville Rd & Adams Av,-75.113852,40.042294
K,Adams Av & Rising Sun Av - FS,-75.109884,40.03875
K,Adams Av & Hill Creek Dr,-75.109157,40.0374
K,Adams Av & Bingham St,-75.108669,40.035507
K,Adams Av & Tabor Rd,-75.107,40.033155
K,Adams Av & Montour St,-75.105599,40.031822
K,Adams Av & Whitaker Av,-75.104092,40.030586
K,Roosevelt Blvd & Adams Av,-75.102089,40.029171
K,Roosevelt Blvd & Langdon St,-75.099224,40.027378
K,Roosevelt Blvd & Summerdale Av - FS,-75.096559,40.026006
